recommendation,class,level,table_number,table_name,guideline,year,page
"After elective PCI, it is recommended to delay time-sensitive NCS until a minimum of 1 month of DAPT treatment has been given.",I,B,13,Recommendations for use of antiplatelet therapy in patients undergoing noncardiac surgery,Non Cardiac Surgery,2022,37
"In patients with a recent PCI scheduled for NCS, it is recommended that management of antiplatelet therapy is discussed between the surgeon, anaesthesiologist, and cardiologist.",I,C,13,Recommendations for use of antiplatelet therapy in patients undergoing noncardiac surgery,Non Cardiac Surgery,2022,37
"In high-risk patients with a recent PCI (e.g. STEMI patients or high-risk NSTE-ACS patients), a DAPT duration of at least 3 months should be considered before time-sensitive NCS.",IIa,C,13,Recommendations for use of antiplatelet therapy in patients undergoing noncardiac surgery,Non Cardiac Surgery,2022,37
"Continuation of medication In patients with a previous PCI, it is recommended to continue aspirin peri-operatively if the bleeding risk allows.",I,B,13,Recommendations for use of antiplatelet therapy in patients undergoing noncardiac surgery,Non Cardiac Surgery,2022,37
"Recommended time interval for drug interruption before NCS If interruption of P2Y12 inhibitor is indicated, it is recommended to withhold ticagrelor for 3–5 days, clopidogrel for 5 days, and prasugrel for 7 days prior to NCS.262–",I,B,13,Recommendations for use of antiplatelet therapy in patients undergoing noncardiac surgery,Non Cardiac Surgery,2022,37
"For patients undergoing high bleeding risk surgery (e.g. intracranial, spinal neurosurgery, or vitreoretinal eye surgery), it is recommended to interrupt aspirin for at least 7 days pre-operatively.",I,C,13,Recommendations for use of antiplatelet therapy in patients undergoing noncardiac surgery,Non Cardiac Surgery,2022,37
"In patients without a history of PCI, interruption of aspirin at least 3 days before NCS may be considered if the bleeding risk outweighs the ischaemic risk, to reduce the risk of bleeding.",IIb,B,13,Recommendations for use of antiplatelet therapy in patients undergoing noncardiac surgery,Non Cardiac Surgery,2022,37
"Resumption of medication If antiplatelet therapy has been interrupted before a surgical procedure, it is recommended to restart therapy as soon as possible (within 48 h) post-surgery, according to interdisciplinary risk assessment.",I,C,13,Recommendations for use of antiplatelet therapy in patients undergoing noncardiac surgery,Non Cardiac Surgery,2022,37
"Interruption of anticoagulation When an urgent surgical intervention is required, it is recommended that NOAC therapy is immediately interrupted.",I,C,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
Idarucizumab should be considered in patients on dabigatran and requiring urgent surgical intervention with intermediate to high bleeding risk.,IIa,B,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
"For interventions with a very high risk of bleeding, such as spinal or epidural anaesthesia, interruption of NOACs for up to ﬁve half-lives and re-initiation after 24 h should be considered.",IIa,C,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
"When speciﬁc reversal agents are unavailable, PCC or activated PCC should be considered for reversing NOAC effects.",IIa,C,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
"If an urgent surgical intervention is required, speciﬁc coagulation tests and assessment of NOAC plasma levels should be considered to interpret routine coagulation tests and waning of anticoagulant effect.",IIa,C,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
"Continuation of medication In minor bleeding risk surgery and other procedures where bleeding can be easily controlled, it is recommended to perform surgery without interruption of OAC therapy.240,296–",I,B,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
"LMWH is recommended, as an alternative to UFH, for bridging in patients with MHVs and high surgical risk.",I,B,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
"In patients using NOACs, it is recommended that minor bleeding risk procedures are performed at trough levels (typically 12–24 h after last intake).",I,C,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
"For patients with mechanical prosthetic heart valves undergoing NCS, bridging with UFH or LMWH should be considered if OAC interruption is needed and patients have: (i) mechanical AVR and any thromboembolic risk factor; (ii) old-generation mechanical AVR; or (iii) mechanical mitral or tricuspid valve replacement.",IIa,C,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
"Bridging of OAC therapy is not recommended in patients with low/moderate thrombotic risk undergoing NCS.290,292,293,306–",III,B,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
"Start/resumption of medication If bleeding risk with resumption of full-dose anticoagulation outweighs the risk of thromboembolic events, postponing therapeutic anticoagulation 48–72 h after the procedure may be considered, using post-operative thromboprophylaxis until resumption of full OAC dose is deemed safe.",IIb,C,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
Use of reduced-dose NOAC to attenuate the risk of post-operative bleeding is not recommended.,III,C,14,Recommendations for interruption and resumption of anticoagulants in patients undergoing non-cardiac surgery,Non Cardiac Surgery,2022,43
It is recommended that decisions about peri-operative thromboprophylaxis in NCS are based on individual and procedure-speciﬁc risk factors.,I,A,15,Recommendations for thromboprophylaxis,Non Cardiac Surgery,2022,44
"If thromboprophylaxis is deemed necessary, it is recommended to choose the type and duration of thromboprophylaxis (LMWH, NOAC, or fondaparinux) according to type of NCS, duration of immobilization, and patient-related factors.",I,A,15,Recommendations for thromboprophylaxis,Non Cardiac Surgery,2022,44
"In patients with a low bleeding risk, peri-operative thromboprophylaxis should be considered for a duration of up to 14 or 35 days, for total knee or hip arthroplasty, respectively.334–",IIa,A,15,Recommendations for thromboprophylaxis,Non Cardiac Surgery,2022,44
NOACs in thromboprophylaxis dose may be considered as alternative treatments to LMWH after total knee and hip arthroplasty.,IIb,A,15,Recommendations for thromboprophylaxis,Non Cardiac Surgery,2022,44
It is recommended to measure haemoglobin pre-operatively in patients scheduled for intermediate- to high-risk NCS.,I,B,16,Recommendations for intra- and post-operative complications associated with anaemia,Non Cardiac Surgery,2022,45
"It is recommended to treat anaemia in advance of NCS, in order to reduce the need for RBC transfusion during NCS.",I,A,16,Recommendations for intra- and post-operative complications associated with anaemia,Non Cardiac Surgery,2022,45
The use of an algorithm to diagnose and treat anaemic patients before NCS should be considered.,IIa,C,16,Recommendations for intra- and post-operative complications associated with anaemia,Non Cardiac Surgery,2022,45
"In patients undergoing surgery with expected blood loss of ≥500 mL, use of washed cell salvage is recommended.",I,A,17,Recommendations for intra- and post-operative complications associated with blood loss,Non Cardiac Surgery,2022,46
"It is recommended to use point-of-care diagnostics for guidance of blood component therapy, when available.370,379–",I,A,17,Recommendations for intra- and post-operative complications associated with blood loss,Non Cardiac Surgery,2022,46
Use of closed-loop arterial blood sampling systems should be considered to avoid blood loss.,IIa,B,17,Recommendations for intra- and post-operative complications associated with blood loss,Non Cardiac Surgery,2022,46
Application of meticulous haemostasis should be considered a routine procedure.,IIa,B,17,Recommendations for intra- and post-operative complications associated with blood loss,Non Cardiac Surgery,2022,46
A feedback/monitoring programme or clinical decision support system should be considered to be assessed before blood transfusion.392–,IIa,B,18,Recommendations for intra- and post-operative complications associated with allogeneic blood transfusion,Non Cardiac Surgery,2022,46
